 , China, Japan, Switzerland, Saudi Arabia, United States, Hong Kong, Russia, South Korea, Brazil, India, Singapore, Germany, Mexico, Thailand, France, Italy, United Kingdom, Algeria, Indonesia, Poland, Turkey, Israel, Malaysia, Czech Republic, United Arab Emirates, Canada, Philippines, Libya, Denmark, Spain, Peru, Norway, Sweden, Australia, Lebanon, South Africa, Colombia, Iraq, Chile, Romania, Argentina, Vietnam, Netherlands, Kuwait, Bangladesh, Qatar, Nigeria, Kazakhstan, Hungary, Morocco
China, 0.0, 2099.756231672181, 8074.2898099708555, 6600.405468937408, 11147.791595780838, 1959.946706555792, 5792.60033975077, 955.679047747884, 16930.427296981365, 3779.5703324375036, 4479.022757307709, 7355.654827859621, 12458.068192397046, 3296.0604763059596, 8214.861739929596, 8123.763877393346, 8137.101743879674, 9109.317901654056, 5217.372286152008, 6938.4580956403215, 6830.259690298148, 7118.128875141936, 4345.728087433982, 7451.480258104499, 5960.838088283101, 10450.24113067616, 2850.2417026396092, 8717.39392737647, 7199.022291819429, 9220.311019520166, 16647.40464283052, 7022.11362305162, 6706.671426989162, 9008.412412957385, 6973.095348680337, 11657.916644241974, 14950.50715917881, 6291.190949628431, 19060.637231473556, 7058.631917474406, 19278.044028869364, 2325.551467123371, 7820.373149782316, 6216.436775568658, 3025.900784580068, 6152.884199261465, 10924.275949999763, 3652.452064144287, 7335.280521094176, 9938.27883482166
Japan, 2099.756231672181, 0.0, 9671.36435056982, 8698.659702654235, 10905.344062439828, 2884.0051113899767, 7483.192235406761, 1157.2161602186957, 17675.033099772052, 5844.129438240262, 5322.532736664166, 8919.82215722022, 11301.925199902893, 4606.797616441292, 9714.858536400354, 9858.016269996058, 9560.544488968626, 10803.721625670318, 5786.4864909667895, 8581.107325183493, 8766.691659906961, 9151.341620747817, 5322.402119439874, 9071.939377278817, 8059.062767509095, 10319.947275895704, 2999.5908964242326, 10580.681112747892, 8692.738309313978, 10765.922933930522, 15486.573036340073, 8407.553605789537, 8172.697158197344, 7948.993759716048, 8989.99648788932, 13503.433286604879, 14314.955077831775, 8349.923964959073, 17230.03169881158, 8882.366322664258, 18338.332614249288, 3670.078783668391, 9292.337044890362, 8305.278979758325, 4895.165499467948, 8252.635027295788, 12958.860971643197, 5562.749448349543, 9047.167888851382, 11522.338529123877
Switzerland, 8074.2898099708555, 9671.36435056982, 0.0, 4251.486575305286, 6599.772157951673, 9386.015894960672, 2288.304268254639, 8865.396692989123, 8888.483817174356, 6241.040464258094, 10387.263557627473, 754.2335606773484, 9631.608166384618, 9123.638614397038, 439.7572062629971, 685.2208569847357, 747.9956743350793, 1187.711822257025, 11217.57007178812, 1139.0736448953596, 2181.4246422171173, 2897.164062275418, 10071.25382491375, 624.0848996346788, 4819.159994222483, 6087.232625771684, 10514.402893560693, 1633.2884643677692, 1035.2699494916453, 1151.167658103405, 10573.020008418473, 1461.3664407816702, 1546.4907990911279, 16592.86916429859, 2759.878220938525, 8339.484483121232, 8992.66203713493, 3442.7753400693337, 11851.364952121712, 1470.1317315405847, 11206.089453540577, 8924.470308989146, 631.3484537447637, 3983.3585911609703, 7588.092389327414, 4549.182253759086, 4206.879467137379, 4536.411786479958, 879.0747580855453, 1869.398774586202
Saudi Arabia, 6600.405468937408, 8698.659702654235, 4251.486575305286, 0.0, 10842.84119703854, 6805.437516594927, 3536.76839605881, 7553.032369643192, 11185.489854922482, 3055.1371119132605, 6655.29632293981, 4171.136171022703, 13874.700232305033, 5744.324204699366, 4685.4818672811325, 3678.0626678960757, 4942.876755429333, 4343.376374367406, 7348.115342198286, 3756.376408359402, 2134.090891908351, 1372.8549705249277, 6346.37054502424, 3957.4009861743048, 775.5439966769171, 10293.019097735152, 7772.768872361574, 3378.469272091899, 4420.456665537291, 4962.6454491277855, 13956.404079366426, 4796.81914215802, 4452.664415671728, 12633.361546976266, 1491.6259191880843, 5940.77847267655, 12840.870126455657, 991.0240559137573, 13937.647557487851, 2881.0499712361216, 12874.89720910248, 6028.770577307972, 4660.1642121917985, 539.2578160443336, 4414.989240540987, 492.25372851469814, 4491.009494488511, 3623.295480846285, 3515.692046949636, 5232.642804177289
United States, 11147.791595780838, 10905.344062439828, 6599.772157951673, 10842.84119703854, 0.0, 13103.518762159229, 7820.98177204462, 11168.989645877855, 6789.631255725137, 12048.001881146725, 15547.911479430002, 6709.729295532877, 3032.554670378768, 14156.836891164574, 6162.249910700439, 7214.804743429789, 5900.105040185314, 6793.43449815101, 16356.976530348269, 7175.540959167008, 8724.049902455765, 9496.927278919698, 15337.437553771937, 6899.826149004555, 11344.157342848786, 734.3065159678121, 13781.490339326852, 7804.680510091573, 6511.92115303738, 6088.812607205683, 5663.5306052914275, 6232.256833272336, 6634.861773765475, 15946.011241737415, 9353.59535567586, 13026.51538197459, 3823.4862701364436, 9968.67776778904, 8069.586110845863, 7976.10316657694, 8384.265787581448, 13346.042802548887, 6190.865042391631, 10523.836955891562, 12931.720192688737, 11098.350533414663, 8904.124923577905, 9540.941566617012, 7336.441263085196, 6144.165365896929
Hong Kong, 1959.946706555792, 2884.0051113899767, 9386.015894960672, 6805.437516594927, 13103.518762159229, 0.0, 7130.929798385543, 2087.430260921245, 17990.409036520716, 3752.984480847993, 2596.5384389640117, 8739.047905094858, 14126.80879533326, 1727.0979302539686, 9616.487182396033, 9268.320640380784, 9610.28116129219, 10251.188294598442, 3273.7822621802397, 8262.063432797691, 7712.404669160567, 7714.185651500543, 2522.482801766125, 8771.137943461166, 6051.21085466248, 12409.466893463781, 1128.3902067892063, 9628.416362811637, 8656.78308062623, 10526.468930679372, 18364.922039073525, 8577.349947184191, 8213.105602605832, 7398.29628182262, 7634.371803203873, 10681.323662409812, 16883.786372107592, 6837.856499292109, 18699.94111136411, 8135.220755381487, 18488.30116428653, 866.46890886136, 9266.809188533143, 6577.537118899813, 2427.4467457401315, 6314.333497830942, 11292.422461664497, 4859.650152359611, 8553.924107757752, 11165.160415817572
Russia, 5792.60033975077, 7483.192235406761, 2288.304268254639, 3536.76839605881, 7820.98177204462, 7130.929798385543, 0.0, 6608.464553696789, 11176.787219110916, 4343.9673517652445, 8429.782563739303, 1608.1730539956284, 10719.110464532725, 7066.821876921027, 2485.7299990578063, 2375.013717445628, 2497.0996187586325, 3336.358591930034, 9306.887426624457, 1149.2407556872536, 1792.8141663503345, 2673.215048516656, 8125.565879268056, 1664.2403742024471, 3737.174688473117, 7158.319165591503, 8257.344429350822, 3165.48620585383, 1558.732668590522, 3439.189921847959, 12644.078302348646, 1642.69680264743, 1227.509568690967, 14481.439111251873, 2438.6748415912634, 9100.52146212208, 10908.740487502226, 2547.313189449826, 14129.70320637381, 1497.8572442064017, 13489.697743347151, 6735.307466967877, 2145.9233381837644, 3046.4755389394113, 5549.656284377217, 3571.406614677901, 5816.018518684253, 2271.7436804346894, 1565.3464709436162, 4145.974186045206
South Korea, 955.679047747884, 1157.2161602186957, 8865.396692989123, 7553.032369643192, 11168.989645877855, 2087.430260921245, 6608.464553696789, 0.0, 17543.370278593702, 4688.789518190235, 4675.940804432776, 8129.045708681112, 12052.508276142687, 3720.8439623976456, 8967.597634839343, 8968.937408413614, 8857.825848826402, 9943.603337536233, 5291.66989602634, 7741.4534026656365, 7746.018100714603, 8064.549924749653, 4609.865277329541, 8248.429121193247, 6904.630049395097, 10513.935530256435, 2620.1158345548406, 9612.061714801239, 7942.0943997827735, 9997.657627814422, 16307.211288508088, 7717.942254715921, 7434.24482807595, 8413.122540724682, 7914.93451762968, 12444.007453261574, 14846.425723494835, 7243.222893827533, 18356.433331783686, 7933.8318963095435, 19409.69827834986, 2739.499227394399, 8558.879308016594, 7172.044972186559, 3792.507455326313, 7102.148522322999, 11873.401311088399, 4547.839281004029, 8168.216793223794, 10734.732911936151
Brazil, 16930.427296981365, 17675.033099772052, 8888.483817174356, 11185.489854922482, 6789.631255725137, 17990.409036520716, 11176.787219110916, 17543.370278593702, 0.0, 14237.436262453624, 16525.272488617942, 9591.713663372026, 6832.939238814467, 16616.521462601846, 8725.295581193972, 8905.384376185826, 8794.43611455524, 7913.227358219204, 16314.312714874164, 10027.55490177369, 10367.126410042274, 10298.271563333228, 16407.214808801906, 9512.54943027639, 11942.022092873427, 7358.759542411908, 18815.08561013159, 8443.230703972435, 9735.743546421229, 7737.7214896747155, 3169.0257720438076, 9908.955168768649, 10224.63643340265, 14060.513126184143, 10389.829445696638, 7893.490832288804, 3664.639600606195, 11173.34231951396, 3011.1462644200506, 10015.261906186037, 2349.8936404308965, 17190.115085811725, 9114.230913290809, 11416.488413436327, 15580.555516924094, 11676.868580285778, 6701.388826920308, 13398.615835240882, 9666.647796747928, 7041.669683803061
India, 3779.5703324375036, 5844.129438240262, 6241.040464258094, 3055.1371119132605, 12048.001881146725, 3752.984480847993, 4343.9673517652445, 4688.789518190235, 14237.436262453624, 0.0, 4150.0980364721945, 5781.468344401088, 14659.516292142669, 2917.7359129721203, 6588.099571951245, 5917.432919667041, 6708.844524459402, 6828.401995682128, 5000.791938317795, 5265.109473250246, 4216.998568513978, 4024.4899231117956, 3835.9140237449633, 5704.255763241545, 2313.7405536154974, 11340.47934173915, 4754.3923837325865, 6044.274738991996, 5847.352117381467, 7272.791077728402, 16773.229447173482, 5986.664073940442, 5571.450445786132, 10352.232687675041, 3980.6884443357444, 7988.63831829508, 15212.929786446828, 3158.075863778109, 16918.67428669144, 4805.045193415796, 15815.595428802824, 3002.934803077106, 6356.543457176935, 2837.3528150403336, 1423.7957982156202, 2565.826166880781, 7545.981623190946, 2555.4192507964453, 5362.189390177849, 7772.555062400244
