,CountryName,CapitalName,CapitalLatitude,CapitalLongitude,2016,pop
0,China,Beijing,39.91666666666666,116.38333300000001,3097658396171.59,9293300.5
1,Japan,Tokyo,35.68333333333333,139.75,1216518740593.28,22006299.5
2,Switzerland,Bern,46.91666666666666,7.466667,678909388702.545,198480.0
3,Saudi Arabia,Riyadh,24.65,46.7,547260618083.736,4335480.5
4,United States,Washington DC,38.883333,-77.0,405942340674.236,2445216.5
5,Hong Kong,Hong Kong,22.3964,114.1095,386240451083.694,5878789.5
6,Russia,Moscow,55.75,37.6,377052191856.084,10452000.0
7,South Korea,Seoul,37.55,126.983333,370154198303.21,9796000.0
8,Brazil,Brasilia,-15.783333333333333,-47.916667,364984031618.166,3139979.5
9,India,New Delhi,28.6,77.2,361694316000.029,317797.0
10,Singapore,Singapore,1.2833333333333332,103.85,251058290845.71,4236614.5
11,Germany,Berlin,52.51666666666666,13.4,184031310247.19397,3250007.0
12,Mexico,Mexico City,19.433333333333334,-99.133333,177973630985.82898,14919501.0
13,Thailand,Bangkok,13.75,100.516667,171772071857.287,5904238.0
14,France,Paris,48.86666666666667,2.333333,145866048714.466,4957588.5
15,Italy,Rome,41.9,12.483333,135133271316.191,1687226.0
16,United Kingdom,London,51.5,-0.083333,134931828649.282,7994104.5
17,Algeria,Algiers,36.75,3.05,120788086949.512,2665831.5
18,Indonesia,Jakarta,-6.166666666666668,106.816667,116369598496.657,8832560.5
19,Poland,Warsaw,52.25,21.0,114328537882.165,1704569.5
20,Turkey,Ankara,39.93333333333333,32.866667,105945857676.196,3511689.5
21,Israel,Jerusalem,31.766666666666666,35.233333,95446288748.4784,915150.0
22,Malaysia,Kuala Lumpur,3.1666666666666665,101.7,94481264616.3253,1448000.0
23,Czech Republic,Prague,50.08333333333334,14.466667000000001,85725302882.1943,582043.5
24,United Arab Emirates,Abu Dhabi,24.466666666666665,54.36666700000001,85390831785.3546,581861.0
25,Canada,Ottawa,45.41666666666666,-75.7,82718098071.0361,978564.5
26,Philippines,Manila,14.6,120.96666699999999,80666221089.489,7088787.5
27,Libya,Tripoli,32.88333333333333,13.166667000000002,70191438392.9273,1209199.0
28,Denmark,Copenhagen,55.66666666666666,12.583333,64215802593.197,1085000.0
29,Spain,Madrid,40.4,-3.683333,63039919322.6992,2808718.5
30,Peru,Lima,-12.05,-77.05,61801162831.7474,7385117.0
31,Norway,Oslo,59.91666666666666,10.75,60445169006.9033,707500.0
32,Sweden,Stockholm,59.33333333333334,18.05,59361638492.3232,1258654.5
33,Australia,Canberra,-35.266666666666666,149.133333,55034824816.2277,280866.0
34,Lebanon,Beirut,33.86666666666667,35.5,53905512324.5871,1779062.5
35,South Africa,Pretoria,-25.7,28.216666999999998,47180123831.0937,1338000.0
36,Colombia,Bogota,4.6,-74.083333,46173771602.6794,7052830.5
37,Iraq,Baghdad,33.333333333333336,44.4,45323526640.4189,5054000.0
38,Chile,Santiago,-33.45,-70.666667,40493292496.2569,2883305.5
39,Romania,Bucharest,44.43333333333333,26.1,39953477654.3698,1842097.0
40,Argentina,Buenos Aires,-34.583333333333336,-58.666667000000004,38414514878.8474,11862073.0
41,Vietnam,Hanoi,21.03333333333333,105.85,36527290572.8838,2904635.0
42,Netherlands,Amsterdam,52.35,4.9166669999999995,35905763108.5387,886318.0
43,Kuwait,Kuwait City,29.36666666666667,47.966667,33936190619.4721,1061532.0
44,Bangladesh,Dhaka,23.716666666666665,90.4,32283836599.7213,9899167.0
45,Qatar,Doha,25.28333333333333,51.533333,31887348954.8206,1090655.0
46,Nigeria,Abuja,9.083333333333334,7.533333,30029812871.7345,869067.5
47,Kazakhstan,Astana,51.16666666666666,71.416667,29422575949.7913,335312.5
48,Hungary,Budapest,47.5,19.083333,25824253119.8932,1679000.0
49,Morocco,Rabat,34.016666666666666,-6.816667,25353273325.081,1680376.5
