"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","112720000","127140000","131945000","127170000","136430000","154950000","175435000","220304999","215915000","255345000","224545000","201350001","250969999","248935000","235455000","321360614.52514","374002932.960894","336945700","339224000","324813400","401389600","455457100","691873900","686970110","708713690","689775980","768622300","653170670","680351000","815800560","922550890",
"Afghanistan","AFG","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","50690799.998857","42444500","40592099.99897","45547799.998965","44619679.998961","45434559.998962","47114049.999005","38528799.999056","45589799.999058","41373599.999057","49488929.997101","67614003.59684","81289651.9988","126230177.99572","201456357.49555","217260911.19468","256505569.59488","431038860.3","605029036.48565","934778990.47715","940035897.87281","657880925.16863","698660883.668365","582310951.48523","526217145.099035","610761760.78276","635742033.2","746832931","657015502","630659655.2","637925698.4","576118910.8","","","","","","","","","","","","","","","","","3042274496.11725","4265888672.74832","5162440197.79369","6344642495.25739","7152304411.66686","7288702808.98632","7528550402.40523","6976966101.37327","7281910391.02785",
"Angola","AGO","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212833269.430944","551619184.387003","396431041.611612","203453700.21292","496103867.448837","1198212373.31321","731866869.439224","375545949.855672","634199422.300226","1374045539.37463","3196850749.9917","8598584121.66624","11196800894.3317","17869411576.5542","13664098011.0068","19749472846.5552","28786209252.5627","33414773293.0924","32780375986.0401","28130311504.4249","23790543293.0423","23741474273.8514",
"Albania","ALB","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166509702.59128","223594867.83155","265298058.49825","323376841.33264","342425752.61332","417921703.20247","523112146.580225","646305810.371388","770581241.845967","866478029.243221","1038294217.57936","1387913041.72878","1439592189.83867","1812802542.32178","2161936591.7955","2363791900.1327","2368942415.05249","2540673566.73796","2471402947.64316","2599863603.96571","2773278168.00598","2665216202.71336","3138517907.70069","3108606804.36865",
"Andorra","AND","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","91723812.49625","452878029.43043","987880061.28521","1979903552.8859","894065844.5","942089470.82829","1727429341.9226","2354590700.8989","3471504393.42259","2588864560.04745","2384156103.22387","2538886313.49918","3471498941.93009","3689327136.9","5120939274.4","4768740249","4776309671.2","4890565126.4","5646813528","5977159900","6415331966.78772","6963510095.9887","7778377418.33299","8350160404.21272","8603051037.38","9305874117.92592","10790299882.2131","13631620553.5699","14256130151.9662","15355430569.9424","15087811852.7696","18529924267.3262","21010296276.9269","27617445690.6868","77238765447.5103","31694454731.8194","26104201251.3529","32785288697.5566","37269321629.3273","47035150517.8105","68202651336.22","78424385724.3758","93929133736.8704","85390831785.3546",
"Argentina","ARG","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","527233599.997044","386407550","114741239.998268","269807439.997782","153293599.99797","236095839.998118","216174479.997608","727208399.979598","780833299.900243","538309999.87836","681788409.806437","304313693.68722","572449623.78222","1597255814.9331","1889579493.40499","848224794.36516","1983316105.9218","3843942163.2","5933320847.10794","11626504898.3976","9296754707.58059","5006229909.81376","4503960841.00462","2840273962.99966","2590505132.29563","4702644000","4427405700","3733969300","5157480788","3216875256.8","6222040940","7462543502.7","11447029750","15499431748.27","16003266605.6748","15979455558.719","19719018706.8724","22424599986.0677","24855742286.5787","26350163270.6231","25152118464.5724","14555552761.4091","10492424597.7952","14157283992.3072","19659593360.5687","28081732025.929","32022296510.0172","46149457445.3885","46385380342.3902","48006987572.796","52207540131.5731","46265809101.0066","43223271090.5489","30533921358.1328","31410823483.4143","25520564393.8036","38414514878.8474",
"Armenia","ARM","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1293750","13586867.8","36108083.15625","111182437.91135","168201812.1534","239225925.6425","293163111.445259","303511747.45767","314200368.693206","329632781.818214","430974254.806771","501977059.370468","547758890.819021","669480438.723873","1071917947.0411","1659090464.19463","1406800824.23264","2003623366.08697","1865824193.73549","1932472153.71926","1799374401.18715","2251610256.38005","1489443392.39267","1775293492.5618","2204113986.69968",
"American Samoa","ASM","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
